"is_delayed","delivery_person_age","delivery_person_ratings","distance_km","order_hour","is_weekend"
TRUE,32,3.4,7.76001000000002,8,TRUE
FALSE,31,4.9,20.565858,9,TRUE
FALSE,23,4.4,11.2995779999999,9,TRUE
FALSE,32,3.7,32.1234000000001,11,TRUE
FALSE,22,4,21.092553,16,TRUE
FALSE,26,3.9,18.3724980000001,16,TRUE
TRUE,26,3.9,30.5214480000001,17,TRUE
FALSE,29,3.1,7.89487500000004,0,TRUE
TRUE,32,3.8,5.21822099999994,4,TRUE
FALSE,21,4.1,7.02297000000012,4,TRUE
TRUE,19,3.7,23.77731,6,FALSE
TRUE,26,3.4,18.8029559999999,7,FALSE
FALSE,30,3,8.78209799999993,8,FALSE
FALSE,27,4.9,9.52047000000001,9,FALSE
FALSE,24,4.9,26.7244710000001,19,FALSE
FALSE,30,3.7,17.755005,4,FALSE
FALSE,27,3.8,20.3221020000001,5,FALSE
FALSE,26,3.6,14.7614460000001,7,FALSE
FALSE,27,3.6,22.979997,11,FALSE
TRUE,30,3.9,3.0850229999999,20,FALSE
FALSE,19,3.7,15.052377,0,FALSE
FALSE,27,3.6,19.9851060000001,4,FALSE
FALSE,24,4.5,7.53734400000005,6,FALSE
TRUE,29,3.9,14.7179339999999,7,FALSE
TRUE,23,4.8,17.2276440000001,11,FALSE
FALSE,39,3.7,0.63047999999999,22,FALSE
FALSE,28,3.7,1.38583499999998,23,FALSE
FALSE,31,3.6,26.914614,23,FALSE
TRUE,24,3.8,4.0901280000001,1,FALSE
FALSE,24,4.8,37.8394560000001,3,FALSE
FALSE,30,3.1,12.5253509999999,4,FALSE
TRUE,29,4.3,0.905316000000154,5,FALSE
TRUE,39,3,20.7678779999999,6,FALSE
FALSE,29,3.6,12.7869779999999,6,FALSE
FALSE,27,4.6,6.42501300000004,7,FALSE
FALSE,30,3.3,1.58263800000018,11,FALSE
FALSE,26,4.1,22.0638029999999,18,FALSE
FALSE,24,4.1,16.192902,20,FALSE
FALSE,25,3.3,7.92395699999996,6,FALSE
FALSE,27,3.9,28.663752,6,FALSE
FALSE,28,4.6,18.0926670000001,6,FALSE
FALSE,24,3.8,12.8851020000001,18,FALSE
TRUE,32,3.3,25.158816,18,FALSE
FALSE,19,4.9,26.0376029999999,21,FALSE
FALSE,28,4.2,24.2523900000001,22,FALSE
FALSE,30,4.3,2.17948499999991,22,FALSE
FALSE,26,4.1,15.9760079999999,1,FALSE
TRUE,24,4.1,1.76900699999991,13,TRUE
FALSE,28,4.5,35.5981439999999,16,TRUE
FALSE,18,4.6,10.5609839999999,19,TRUE
TRUE,32,4.6,29.305221,20,TRUE
FALSE,29,3.7,33.9529020000001,20,TRUE
FALSE,19,3.7,14.510697,23,TRUE
TRUE,18,3.4,21.368943,4,TRUE
FALSE,30,4.1,12.7270379999998,4,TRUE
FALSE,38,4.2,6.69385499999996,9,TRUE
TRUE,28,4.1,13.170483,10,TRUE
FALSE,25,4.1,13.3616249999999,10,TRUE
FALSE,42,3.4,3.56165700000007,13,TRUE
FALSE,35,4.2,21.0463770000001,14,TRUE
FALSE,20,4.6,19.1114250000001,14,TRUE
FALSE,18,5,26.506467,17,TRUE
TRUE,35,4.8,18.5378880000001,18,TRUE
TRUE,33,4.7,16.3461930000001,21,TRUE
FALSE,33,3.9,8.29192200000003,23,TRUE
TRUE,34,3.7,7.19324400000006,3,TRUE
FALSE,28,3.1,22.2529469999999,5,TRUE
TRUE,21,3.8,6.78887100000003,8,FALSE
TRUE,28,3.9,4.22898899999989,14,FALSE
TRUE,22,3.1,24.373935,19,FALSE
FALSE,30,3.7,2.53168799999994,20,FALSE
FALSE,36,4.9,1.14096900000007,21,FALSE
FALSE,24,4.8,1.87245899999998,21,FALSE
FALSE,29,4.6,17.765328,21,FALSE
FALSE,21,4.7,26.2218629999998,22,FALSE
TRUE,26,3.3,3.70418100000008,23,FALSE
